City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
618,Tsiroanomandidy,MG,65.59,moderate rain,-18.7667,46.0333,
619,Warri,NG,80.04,overcast clouds,5.5167,5.75,BON Hotel Delta
620,Dingle,PH,74.95,light rain,10.9995,122.6711,SEGAYA PROPERTY
621,Linden,GY,75.2,heavy intensity rain,6.0,-58.3,Crimson Bat Hotel
622,Soure,BR,80.11,overcast clouds,-0.7167,-48.5233,Casarão
624,Ghanzi,BW,70.03,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
626,Cambara,BR,84.33,clear sky,-23.0464,-50.0736,Central Palace Hotel
630,Los Zacatones,MX,80.6,few clouds,22.95,-102.05,
633,Pochutla,MX,91.0,few clouds,15.7432,-96.4661,Hotel Posada San Jose
634,Nogales,MX,84.99,clear sky,31.3086,-110.9422,Hotel Marqués De Cima
635,Pringsewu,ID,72.77,broken clouds,-5.3582,104.9744,Urban Style by Front One
636,Abha,SA,69.8,clear sky,18.2164,42.5053,Abha Hotel
637,Jacqueville,CI,75.2,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
638,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
639,Maun,BW,75.2,clear sky,-19.9833,23.4167,Enviro Villa
640,Kununurra,AU,71.6,overcast clouds,-15.7667,128.7333,Hotel Kununurra
641,Sola,VU,82.42,overcast clouds,-13.8833,167.55,Leumerus Bungalows
643,Matagami,CA,71.6,clear sky,49.7502,-77.6328,Hôtel Matagami
